<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,1,20180904,11:38:00,228.6800000,228.6900000,228.5500000,228.6900000,1900
US2.AAPL,1,20180904,11:39:00,228.6800000,228.8400000,228.6800000,228.8300000,5600
US2.AAPL,1,20180904,11:40:00,228.8500000,228.9200000,228.8300000,228.9000000,6276
US2.AAPL,1,20180904,11:41:00,228.9100000,228.9100000,228.8200000,228.8300000,3200
US2.AAPL,1,20180904,11:42:00,228.8600000,228.8600000,228.6600000,228.6800000,3270
US2.AAPL,1,20180904,11:43:00,228.6700000,228.6700000,228.4200000,228.5400000,4831
US2.AAPL,1,20180904,11:44:00,228.5400000,228.5500000,228.2900000,228.3100000,5270
US2.AAPL,1,20180904,11:45:00,228.3400000,228.3400000,228.2300000,228.2900000,6000
US2.AAPL,1,20180904,11:46:00,228.2600000,228.4600000,228.2600000,228.4600000,1417
US2.AAPL,1,20180904,11:47:00,228.4500000,228.4600000,228.4000000,228.4200000,2600
US2.AAPL,1,20180904,11:48:00,228.4300000,228.4600000,228.3800000,228.4200000,3500
US2.AAPL,1,20180904,11:49:00,228.3650000,228.3800000,228.3300000,228.3400000,2100
US2.AAPL,1,20180904,11:50:00,228.3500000,228.3900000,228.2000000,228.2400000,4395
US2.AAPL,1,20180904,11:51:00,228.2700000,228.2850000,227.9400000,227.9600000,11119
US2.AAPL,1,20180904,11:52:00,227.9500000,228.0000000,227.7700000,227.8700000,7938
US2.AAPL,1,20180904,11:53:00,227.9200000,228.1400000,227.9200000,228.0500000,4700
US2.AAPL,1,20180904,11:54:00,228.0700000,228.1700000,228.0000000,228.0800000,4494
US2.AAPL,1,20180904,11:55:00,228.0900000,228.1200000,227.8800000,227.8800000,4900
US2.AAPL,1,20180904,11:56:00,227.8800000,227.8800000,227.7800000,227.8000000,1500
US2.AAPL,1,20180904,11:57:00,227.7500000,227.7900000,227.6800000,227.6800000,2865
US2.AAPL,1,20180904,11:58:00,227.7000000,227.9100000,227.7000000,227.8900000,2200
US2.AAPL,1,20180904,11:59:00,227.8900000,227.8900000,227.7100000,227.7100000,2400
US2.AAPL,1,20180904,12:00:00,227.7200000,227.7800000,227.6500000,227.7500000,3814
US2.AAPL,1,20180904,12:01:00,227.7200000,227.8300000,227.6700000,227.6900000,2100
US2.AAPL,1,20180904,12:02:00,227.7300000,227.8000000,227.6900000,227.7100000,1001
US2.AAPL,1,20180904,12:03:00,227.6800000,227.8200000,227.6800000,227.7800000,2800
US2.AAPL,1,20180904,12:04:00,227.8000000,227.8200000,227.6900000,227.8000000,4800
US2.AAPL,1,20180904,12:05:00,227.7800000,227.9100000,227.7500000,227.7700000,10219
US2.AAPL,1,20180904,12:06:00,227.7200000,227.8100000,227.6700000,227.6700000,5200
US2.AAPL,1,20180904,12:07:00,227.7400000,227.7500000,227.6800000,227.7200000,3500
US2.AAPL,1,20180904,12:08:00,227.7300000,227.7400000,227.5100000,227.5300000,9100
US2.AAPL,1,20180904,12:09:00,227.5200000,227.5300000,227.3000000,227.3400000,9978
US2.AAPL,1,20180904,12:10:00,227.3600000,227.4200000,227.3400000,227.4000000,2102
US2.AAPL,1,20180904,12:11:00,227.3900000,227.3900000,227.2600000,227.3400000,6994
US2.AAPL,1,20180904,12:12:00,227.3100000,227.3300000,227.2700000,227.3300000,1300
US2.AAPL,1,20180904,12:13:00,227.4100000,227.6400000,227.3900000,227.6200000,5652
US2.AAPL,1,20180904,12:14:00,227.6000000,227.6000000,227.4000000,227.4400000,3420
US2.AAPL,1,20180904,12:15:00,227.4300000,227.4300000,227.2900000,227.3100000,1534
US2.AAPL,1,20180904,12:16:00,227.2900000,227.5200000,227.2900000,227.5200000,3393
US2.AAPL,1,20180904,12:17:00,227.5300000,227.6000000,227.5200000,227.6000000,2900
US2.AAPL,1,20180904,12:18:00,227.5900000,227.6400000,227.5800000,227.6000000,1700
US2.AAPL,1,20180904,12:19:00,227.6000000,227.6300000,227.5400000,227.5600000,3500
US2.AAPL,1,20180904,12:20:00,227.5500000,227.6800000,227.5400000,227.6400000,2255
US2.AAPL,1,20180904,12:21:00,227.6500000,227.6800000,227.5400000,227.5700000,2890
US2.AAPL,1,20180904,12:22:00,227.5300000,227.5900000,227.4250000,227.4800000,3850
US2.AAPL,1,20180904,12:23:00,227.5100000,227.5800000,227.4300000,227.4300000,3400
US2.AAPL,1,20180904,12:24:00,227.4000000,227.4000000,227.0100000,227.0100000,9444
US2.AAPL,1,20180904,12:25:00,227.0600000,227.1400000,226.9900000,227.0300000,31424
US2.AAPL,1,20180904,12:26:00,227.0800000,227.2100000,227.0100000,227.2100000,3000
US2.AAPL,1,20180904,12:27:00,227.1900000,227.1900000,227.0200000,227.0800000,4686
US2.AAPL,1,20180904,12:28:00,227.0900000,227.2400000,227.0800000,227.2300000,2400
US2.AAPL,1,20180904,12:29:00,227.2200000,227.2400000,227.1900000,227.2400000,3167
US2.AAPL,1,20180904,12:30:00,227.2200000,227.3900000,227.2200000,227.2800000,4700
US2.AAPL,1,20180904,12:31:00,227.3100000,227.3800000,227.2300000,227.2400000,2975
US2.AAPL,1,20180904,12:32:00,227.1900000,227.4600000,227.1400000,227.4300000,4700
US2.AAPL,1,20180904,12:33:00,227.4400000,227.5300000,227.4300000,227.4800000,7695
US2.AAPL,1,20180904,12:34:00,227.4300000,227.5300000,227.4300000,227.4900000,3200
US2.AAPL,1,20180904,12:35:00,227.5200000,227.5900000,227.4900000,227.5600000,4400
US2.AAPL,1,20180904,12:36:00,227.5900000,227.6500000,227.5300000,227.6000000,4500
US2.AAPL,1,20180904,12:37:00,227.6100000,227.7150000,227.6000000,227.7100000,4479
US2.AAPL,1,20180904,12:38:00,227.7300000,227.8900000,227.7100000,227.8600000,11849
US2.AAPL,1,20180904,12:39:00,227.8600000,227.8600000,227.7100000,227.7400000,5491
US2.AAPL,1,20180904,12:40:00,227.7300000,227.7500000,227.5700000,227.7500000,4000
US2.AAPL,1,20180904,12:41:00,227.7200000,227.7500000,227.6800000,227.7300000,2195
US2.AAPL,1,20180904,12:42:00,227.8300000,227.9200000,227.8000000,227.8000000,5400
US2.AAPL,1,20180904,12:43:00,227.7700000,227.8000000,227.7100000,227.7200000,3500
US2.AAPL,1,20180904,12:44:00,227.7100000,227.7500000,227.6950000,227.7300000,2900
US2.AAPL,1,20180904,12:45:00,227.7500000,227.7500000,227.6600000,227.6600000,3088
US2.AAPL,1,20180904,12:46:00,227.6300000,227.7000000,227.5900000,227.6000000,3400
US2.AAPL,1,20180904,12:47:00,227.6700000,227.8750000,227.6600000,227.8200000,2680
US2.AAPL,1,20180904,12:48:00,227.8300000,227.8300000,227.6650000,227.7400000,2100
US2.AAPL,1,20180904,12:49:00,227.7400000,227.8000000,227.7400000,227.7700000,1300
US2.AAPL,1,20180904,12:50:00,227.7600000,227.9200000,227.7600000,227.8500000,4094
US2.AAPL,1,20180904,12:51:00,227.8700000,227.8700000,227.7100000,227.7400000,3828
US2.AAPL,1,20180904,12:52:00,227.7600000,227.8500000,227.7600000,227.8000000,1200
US2.AAPL,1,20180904,12:53:00,227.8200000,227.9100000,227.8100000,227.9100000,2000
US2.AAPL,1,20180904,12:54:00,227.9150000,227.9800000,227.9000000,227.9800000,1500
US2.AAPL,1,20180904,12:55:00,228.0000000,228.1400000,228.0000000,228.0800000,5900
US2.AAPL,1,20180904,12:56:00,228.0800000,228.2400000,228.0800000,228.1600000,4770
US2.AAPL,1,20180904,12:57:00,228.1600000,228.1700000,228.1000000,228.1100000,5500
US2.AAPL,1,20180904,12:58:00,228.1300000,228.3500000,228.1200000,228.2100000,6342
US2.AAPL,1,20180904,12:59:00,228.1900000,228.2300000,228.0700000,228.0800000,4719
US2.AAPL,1,20180904,13:00:00,228.0900000,228.1000000,228.0100000,228.1000000,1500
US2.AAPL,1,20180904,13:01:00,228.1300000,228.1600000,228.0700000,228.0800000,2800
US2.AAPL,1,20180904,13:02:00,228.0900000,228.3400000,228.0700000,228.2800000,9469
US2.AAPL,1,20180904,13:03:00,228.2700000,228.3300000,228.2500000,228.2600000,4111
US2.AAPL,1,20180904,13:04:00,228.2600000,228.4600000,228.2600000,228.4100000,6508
US2.AAPL,1,20180904,13:05:00,228.4300000,228.4300000,228.3000000,228.3000000,4080
US2.AAPL,1,20180904,13:06:00,228.2900000,228.3500000,228.2450000,228.3500000,2000
US2.AAPL,1,20180904,13:07:00,228.3700000,228.4800000,228.3500000,228.3800000,4200
US2.AAPL,1,20180904,13:08:00,228.3500000,228.4100000,228.3400000,228.4100000,1100
US2.AAPL,1,20180904,13:09:00,228.4400000,228.4500000,228.3800000,228.4000000,3475
US2.AAPL,1,20180904,13:10:00,228.4100000,228.5100000,228.4100000,228.5000000,2300
US2.AAPL,1,20180904,13:11:00,228.5100000,228.5800000,228.5100000,228.5600000,2946
US2.AAPL,1,20180904,13:12:00,228.5500000,228.5700000,228.4700000,228.5700000,5440
US2.AAPL,1,20180904,13:13:00,228.5600000,228.6100000,228.5350000,228.5900000,3600
US2.AAPL,1,20180904,13:14:00,228.5800000,228.6200000,228.5500000,228.5700000,2100
US2.AAPL,1,20180904,13:15:00,228.5700000,228.7200000,228.5700000,228.6600000,1900
US2.AAPL,1,20180904,13:16:00,228.6200000,228.7000000,228.6100000,228.6900000,2100
US2.AAPL,1,20180904,13:17:00,228.7100000,228.7300000,228.6400000,228.6400000,3951
US2.AAPL,1,20180904,13:18:00,228.6600000,228.7300000,228.6500000,228.7000000,1800
US2.AAPL,1,20180904,13:19:00,228.7000000,228.7300000,228.5050000,228.5200000,4000
US2.AAPL,1,20180904,13:20:00,228.5400000,228.5800000,228.4900000,228.4900000,1800
US2.AAPL,1,20180904,13:21:00,228.5000000,228.5600000,228.5000000,228.5100000,1200
US2.AAPL,1,20180904,13:22:00,228.4900000,228.4900000,228.3200000,228.3600000,2050
US2.AAPL,1,20180904,13:23:00,228.3900000,228.4600000,228.3900000,228.4300000,1100
US2.AAPL,1,20180904,13:24:00,228.4400000,228.4700000,228.4000000,228.4000000,1300
US2.AAPL,1,20180904,13:25:00,228.4200000,228.4700000,228.4000000,228.4500000,1300
US2.AAPL,1,20180904,13:26:00,228.4600000,228.5800000,228.4600000,228.5500000,1400
US2.AAPL,1,20180904,13:27:00,228.5800000,228.5800000,228.4400000,228.4600000,2043
